Pays,PIB
Mongolia,998.829388
India,998.5223415
Guyana,997.2113729
Malaysia,9955.242722
Mexico,9950.45008
Bermuda,99471.6389
Brazil,9928.675897
Senegal,992.6880581
China,9905.342004
Pakistan,990.8466112
Philippines,990.5659913
Bulgaria,9879.268533
Pakistan,987.409712
Zambia,985.132436
Bermuda,98467.68399
Bermuda,98431.86518
Chad,984.7361305
Angola,982.9610078
Sri Lanka,982.195697
Malaysia,9817.78709
Gabon,9813.505747
Kazakhstan,9812.626371
Kazakhstan,9812.595808
Bangladesh,981.8608514
Turkey,9791.88245
Chad,979.8117426
Tajikistan,978.4049812
Bermuda,97774.16207
Croatia,9747.440771
Guyana,974.9491933
Latvia,9723.446902
Seychelles,9706.95606
Norway,97019.18275
Mauritania,970.8423607
Norway,96944.09561
Tajikistan,969.2961039
Mexico,9686.984927
Gabon,9683.58162
Mauritius,9681.618567
Turkmenistan,967.8874353
Djibouti,967.6795838
Chad,967.3529488
Equatorial Guinea,9667.857801
Gabon,9663.42411
Benin,966.2036183
Solomon Islands,965.7656751
Nauru,9648.495655
Mexico,9642.680517
Mauritius,9637.00265
Grenada,9628.259169
Bhutan,962.0953713
Mexico,9616.645558
Saudi Arabia,9609.968686
China,959.3724836
Maldives,9577.346946
Pakistan,957.9956753
Nauru,9562.667866
Guyana,955.6653806
Guinea,955.1112811
Romania,9548.587403
Romania,9547.852151
Guyana,954.4003181
Bermuda,95221.85887
Nauru,9521.042101
Cambodia,950.880346
Cameroon,950.5648637
Zimbabwe,948.331481
Cuba,9477.852873
Suriname,9471.922001
Chile,9464.548507
Turkey,9454.348443
Uruguay,9451.932449
Bulgaria,9446.700772
Suriname,9402.164419
Comoros,937.7108963
Ethiopia,936.3404611
Panama,9358.26813
Libya,9336.353498
Senegal,932.1680954
Armenia,930.1254727
Mauritius,9291.227619
Chad,929.3827519
Mexico,9287.849587
Mexico,9271.398396
Grenada,9261.551876
Mauritius,9260.447303
Equatorial Guinea,9250.316493
Kazakhstan,9247.581331
Lithuania,9230.707981
Costa Rica,9229.834517
Maldives,9209.443564
Suriname,9200.974786
Mauritius,9197.026972
Saudi Arabia,9171.331476
Suriname,9168.237157
Brazil,9151.381732
Togo,914.9507925
Sudan,914.1665223
Cayman Islands,91392.64259
Ghana,913.3938493
Switzerland,91254.03476
Cuba,9125.878679
Kazakhstan,9122.23343
Turkey,9121.515167
Ukraine,911.9111514
Turkey,9103.474051
Romania,9099.217539
Grenada,9096.538652
Uruguay,9091.079039
Pakistan,908.0950852
Luxembourg,90712.79929
Kazakhstan,9070.488253
Mexico,9068.294218
Oman,9066.312371
Malaysia,9040.568495
Djibouti,904.7366795
Lesotho,904.6061298
Poland,9035.410467
Maldives,9033.41027
Argentina,9020.873323
Kenya,902.0699578
Nepal,901.7496077
Togo,901.5230169
Indonesia,900.1775881
Nepal,899.523581
Romania,8969.148921
Switzerland,89684.70758
Sao Tome and Principe,896.8677913
Mali,894.8047765
Togo,893.3524541
Chad,892.5688697
Estonia,8914.103557
Montenegro,8910.650834
Tajikistan,890.5444024
Brazil,8897.552966
Lesotho,889.1342855
Gabon,8849.322608
Montenegro,8845.914219
Brazil,8831.183643
Azerbaijan,883.7339715
Uganda,883.5287445
Bangladesh,883.1171296
Sao Tome and Principe,883.0970413
Cuba,8824.194008
Cambodia,882.275614
China,8816.986905
Brazil,8813.989806
Switzerland,88109.48675
