actor_1_id,actor_1_name,actor_1_facebook_likes
2120,Ian Gamazon,0
2100,Don Brooks,0
1291,Robert Redford,0
2081,Chemeeka Walker,0
2089,Chris 'Wonder' Schoeck,0
1748,Ami Ayalon,0
1916,Bhole Baba,0
1760,Lee Scott,0
1920,Heather Berman,0
2060,Ariel Hsing,0
881,Pablo Sevilla,0
1910,Karen Alexander,0
2047,Abigail Evans,0
1948,Elizabeth Streb,0
1977,Carol Block,0
2048,Iulia Ciochina,0
2125,Eva Boehnke,0
1873,Stana Roumillac,0
1726,Tshewang Dendup,0
2058,Naderev Sano,0
1777,Elina Abai Kyzy,0
2018,Sam Adams,0
1914,Dario Nozic Serini,0
2075,Jonathan Blow,0
1909,Aliou Tour̩,0
2039,Hanne Aagesen,0
1040,Sierra McCormick,512
812,Willie Garson,512
578,Catherine Dyer,768
760,Darcy Donavan,640000
1336,MyAnna Buring,513
303,Finn Wittrock,769
98,Toby Stephens,769
652,George Carlin,769
1151,Jeremy Davies,769
245,Bob Neill,2
2070,Stephen Carr,2
1990,Vera Ngassa,2
1938,Daston Kalili,2
2024,Brendan Doogie Milewski,2
2041,Darryl Hunt,2
719,Tenzin Thuthob Tsarong,2
935,Darci Kistler,2
1619,Bhavkhandan Singh Rakhra,258
1215,Byron Mann,258
184,Martin Short,770
1792,Nataniel S�Ánchez,3
1829,Anwar Congo,3
1974,Amos Oz,3
619,Jeremy W. Auman,3
2036,Melanie Papalia,259
741,Pam Ferris,771
1352,Leonid Yarmolnik,4
1936,Bo Huang,4
747,Christo Jivkov,260
1579,Fred MacMurray,516
1218,Chase Ellison,772
2103,Tommy Pallotta,5
2114,Fereshteh Sadre Orafaiy,5
1476,Bhama,5
2005,Charis Michelsen,5
152,Mathew Buck,5
734,Kim-Marie Woodhouse,5
2099,Nichole Ceballos,5
1407,Jean-Baptiste Maunier,517
958,Nancy Allen,517
634,James Coburn,773
1392,James Nesbitt,773
1217,Harry Styles,773
1456,Jeffrey Frost,6
624,Rumi Hiiragi,6
1316,Mitsuo Iwata,6
1329,Akon,262
1895,Kevin Scott Richardson,262
1884,Zachary Knighton,262
1841,Jordana Spiro,262
1905,Joe Cocker,262
124,Suraj Sharma,774
782,Mark Valley,774
1277,Sarunyu Wongkrachang,7
1894,William Gates,7
1846,Rasheed Naz,7
1384,John Cameron Mitchell,263
595,Aaliyah,775
1863,Eric Lloyd,775
748,Luke Bracey,775
1955,Bob Proctor,8
757,Lee Remick,264
885,Shengyi Huang,264
1436,Warren Christie,520
1066,Eddie Izzard,776
1438,Vanna Bonta,21000
84,Robert Pattinson,21000
22,Robert Downey Jr.,21000
1159,Honglei Sun,9
1158,Marcell Nagy,9
1683,Kathleen Wilhoite,265
677,Tika Sumpter,521
540,M. Emmet Walsh,521
453,Sydney Pollack,521
2115,Patrick O'Donnell,10
1809,Andrew Robinson,266
1508,Angell Conwell,522
579,Jon Foo,778
1822,Kevin Corrigan,778
1584,Matthew Senreich,11
1628,Jack Kao,11
704,Lilli Lavine,11
1609,Dyan Cannon,267
2083,Ty Parker,267
466,Marcela Mar,267
824,Cem Yilmaz,523
695,Sandra Ellis Lafferty,523
729,Gerald McRaney,523
687,Tyler Labine,779
439,Corinna Harney,779
1832,Kumar Gaurav,12
2065,Philippe Leroy,12
1805,Talia Zucker,12
1804,Piero MaggiÌ_,12
2026,Christina Hart,12
1790,Lemmy,268
314,Ian McNeice,268
48,Tzi Ma,268
320,Shawna Waldron,524
156,Joe Morton,780
1433,Maribel Verd̼,269
1149,Anika Noni Rose,525
1932,Tommy Sheppard,14
1800,Sarah Murphy-Dyson,14
2050,Charla Cochran,270
858,Barry Watson,526
535,Richard Epcar,782
1410,Ruby Dee,782
1848,Jason Ritter,782
1564,Fran̤ois B̩gaudeau,15
1636,Hanno P̦schl,15
1167,Tatsuo Matsumura,15
1975,Mark Zupan,15
817,Alessandro Nivola,527
733,Meat Loaf,783
99,Ed Begley Jr.,783
1650,Leopold Stokowski,16
1871,Sam Edwards,16
763,Jim Meskimen,272
123,Karen Allen,784
1468,David Raizor,784
868,William McNamara,10000
116,Rupert Grint,10000
492,Andrew Garfield,10000
795,Alexander Skarsg̴rd,10000
120,Jeremy Renner,10000
220,Anna Kendrick,10000
57,Tom Cruise,10000
415,Viggo Mortensen,10000
352,Olivia Wilde,10000
15,Will Smith,10000
1078,Jensen Ackles,10000
62,Gary Oldman,10000
374,Marlon Brando,10000
933,Bunta Sugawara,17
2064,Diane Sorrentino,17
1100,Bel̩n Rueda,273
1191,Keir Dullea,273
130,Shelley Conn,273
1697,Merritt Wever,529
1143,Heather Matarazzo,529
585,Charlyne Yi,529
1864,Kimberly Williams-Paisley,529
242,Fergie,529
2118,Julianna Pitt,785
1174,Lily Cole,785
1913,Paul McCartney,785
1580,Tamara Toumanova,18
1374,Maria Pia Calzone,18
1486,Jaime Camil,274
1524,Connor Paolo,530
1234,Miranda Richardson,530
1878,Shahab Hosseini,786
898,Debbie Reynolds,786
1260,Danny Pino,786
1982,James Cagney,786
566,Patton Oswalt,786
1997,Rumi Missabu,19
1985,Kevin Howarth,19
2088,Dan Novy,19
1614,Isaac Hayes,275
44,A.J. Buckley,275
80,Bruce Spence,531
1346,Melinda Clarke,787
523,Jimmy Fallon,787
1239,Vincent Gallo,787
819,Cole Hauser,787
907,Dylan Authors,20
1063,Konstantin Lavronenko,20
1621,Rijk de Gooyer,20
839,Pablo Rago,20
1098,Krystyna Janda,20
1834,G.W. Krauss,20
1826,Shahir Kabaha,20
1176,Lois Smith,276
1330,Saif Ali Khan,532
445,Joseph Gilgun,788
295,Michael Raymond-James,788
319,Si Won Choi,21
2117,Tatiana Suarez-Pico,21
1557,Jane Goodall,21
806,Sergey Garmash,21
271,David Gant,21
1678,Nicholas Aaron,21
394,Todd Stashwick,277
1536,Keenan Wynn,277
1717,Karl E. Landler,533
1233,Eoin Macken,533
841,Paige Turco,533
345,Peter Greene,789
388,Billy Campbell,789
1959,Tony Alva,22
383,Charles S. Dutton,534
871,Isaiah Washington,534
1674,Michel Robin,23
236,Nissim Renard,23
1081,Phil Vischer,23
1908,Kendyl Joi,23
807,Rod Steiger,279
109,Mark Rylance,535
1205,Jeff Fahey,535
1431,Gene Tierney,535
2032,Devid Striesow,24
1489,Nicolas Giraud,24
1883,Norma Aleandro,24
2082,Virginia Leith,24
1223,Johannes Silberschneider,24
1774,Ulrich Thomsen,280
1566,Catalina Sandino Moreno,280
1597,Michael Gross,536
931,Mem Ferda,31000
1318,Rachel Ann Mullins,31000
869,Marisa Saks,31000
1487,Jan Decleir,25
1888,Scott Helvenston,25
