actor_2_id,actor_2_name,actor_2_facebook_likes
3015,Edmund McMillen,0
2967,Jasper Johal,0
2402,Seth Green,0
2665,Aziz Muradillayev,0
2978,Sylvia Eckhausen,0
2988,Stacie Evans,0
3001,Xinhua Jiang,0
2255,Diganth,0
2660,Michael Douglas,0
2497,Sebastian Aguilar,0
2929,Pierre Prieur,0
2229,Megan Ambuhl Graner,0
2952,Steve Duin,0
2835,Spela Colja,0
3005,Valentine,0
3074,Edgar Tancangco,0
2866,Rai Alexandra,0
2217,Guillaume Denaiffe,0
3020,Dottie Alexander,0
3026,Amanda Kearsan,0
2907,Joe Bishop,0
2999,Hugh Ducklow,0
3053,Bobby Kendall,0
3080,Maxwell Moody,0
2837,Pant Shirt Baba,0
2989,Ana Maria Guran,0
2596,Lhakpa Dorji,0
2702,Anella Vastola,0
2761,Germ�Án Alcarazu,0
2313,Balinese Tari Legong Dancers,0
2841,Eva Carrozza,0
2631,Yuval Diskin,0
2909,Ellen Block,0
2543,Ronny Dayag,0
2646,Jon Hunter,0
2496,Deems Taylor,0
2174,Jessica Chastain,0
2802,Katy Helvenston-Wettengal,0
378,Val Kilmer,0
3067,Nargess Mamizadeh,0
2830,Garba Tour̩,0
3050,Ron Gelner,0
3056,Richard Linklater,0
2078,Casey Affleck,0
2125,Daryl Hannah,0
2782,Christophe Cherki,0
3021,Seth Ackerman,0
2845,Zubaida Sahar,0
2921,Beatrice Ntuba,0
1484,Kyra Nichols,0
2960,Donald Austin,0
2979,Evelyn Jefferson,0
2977,Bertrand Cantat,0
2831,Colin Andrews,0
2874,Sarah Callan,0
2057,Rick Fox,256
278,Maile Flanagan,256
2123,Tamara Glynn,256
833,Jay O. Sanders,256
696,Brittany Curran,512
3022,Clint Mansell,512
1351,Ben Crompton,257
2018,Tony Devon,257
534,Dyan Cannon,257
978,Vic Morrow,257
2920,Anna Karina,257
1730,Sarita Choudhury,257
2019,Larry Drake,513
208,Roseanne Barr,513
1917,Toby Stephens,769
1456,Finn Wittrock,769
732,George Carlin,769
1673,Jeremy Davies,769
2995,Rowan Isaacson,2
2936,Bill Martone,2
2104,Sara-Marie Maltha,2
1167,Tulku Jamyang Kunga Tenzin,2
2278,Artyom Bogucharskiy,2
2378,Agame Malembo-Emene,2
2142,Pat Buchanan,2
1009,Jeffrey Dover,2
2472,Joel Fuhrman,2
2883,Jack Canfield,2
1704,Marian Dziedziel,2
2688,Antonio Arru̩,2
3010,Johnnie Walker,2
1800,P̩ter Fancsikai,2
862,Celia Weston,258
2598,Luke Edwards,258
2355,Lynn Redgrave,258
660,Mark Christopher Lawrence,258
1522,Suzie Steen,258
1928,Craig Fairbrass,258
2137,Kari Wuhrer,514
973,Zelda Rubinstein,770
125,Martin Short,770
2713,Naomi Nishida,3
2739,Herman Koto,3
899,Zan Marolt,3
2462,Ariane Schluter,3
2721,Eric Schlosser,3
2365,Jerry Brown,3
1702,Olaf Lubaszenko,3
1160,Philippe Labro,3
2552,Stephane Gauger,3
1888,Clotilde Mollet,3
2911,Natalie Welch,3
2741,Rufus Graham,3
1017,Y�Èki Amami,3
2071,Tim Guinee,259
2173,Adam Butcher,259
2912,Lee J. Cobb,259
2658,L̩a Drucker,4
2360,Johanna M�ürck,4
2470,Bo Huang,4
2698,CindyMarie Small,4
2484,Tal Bachman,4
346,Royce Johnson,4
2864,Zheng Xu,4
1189,Amy Carson,4
1801,Ni Yan,4
2615,Adel Karam,4
