SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE
182940,0,Cash loans,F,N,N,0,90000.0,835380.0,23571.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.019689
397049,1,Cash loans,M,Y,Y,0,225000.0,254700.0,20250.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029
120845,1,Cash loans,M,Y,Y,3,135000.0,755190.0,38686.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164
155211,0,Revolving loans,M,N,N,2,180000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007305
172542,0,Cash loans,M,N,Y,0,270000.0,781920.0,33129.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00733
293286,0,Cash loans,F,N,N,0,112500.0,450000.0,32611.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625
278075,0,Cash loans,F,N,N,0,126000.0,247500.0,7632.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.014519999999999996
412504,0,Cash loans,M,Y,Y,1,180000.0,405000.0,24601.5,405000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.014519999999999996
168321,0,Cash loans,M,N,Y,0,270000.0,1006920.0,41139.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.011703
448549,0,Revolving loans,F,N,Y,0,67500.0,675000.0,33750.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008625
395841,0,Cash loans,F,N,Y,0,144000.0,225000.0,11488.5,225000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.010276
160166,0,Cash loans,F,Y,Y,2,90000.0,577413.0,29610.0,432000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.008068
329610,0,Revolving loans,M,Y,Y,0,225000.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209
193758,0,Cash loans,M,Y,Y,0,90000.0,568800.0,21573.0,450000.0,Family,Pensioner,Higher education,Married,House / apartment,0.00733
335424,0,Cash loans,F,N,Y,0,157500.0,526491.0,30352.5,454500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.025164
404494,0,Cash loans,F,Y,Y,0,252000.0,724500.0,21312.0,724500.0,Family,Commercial associate,Higher education,Civil marriage,House / apartment,0.031329
349681,0,Revolving loans,F,N,Y,0,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.022625
280923,0,Cash loans,M,N,Y,0,292500.0,266652.0,21195.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329
182540,0,Cash loans,F,Y,N,0,175500.0,851778.0,25033.5,711000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.025164
419120,0,Cash loans,M,Y,N,0,157500.0,67500.0,7398.0,67500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.007305
324214,0,Cash loans,F,N,N,0,76500.0,675000.0,19737.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.01885
221756,0,Cash loans,F,N,Y,2,115200.0,592560.0,32274.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228
