id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
36735,9764,1888,Gil Vicente FC,GV
35293,7841,744,Rio Ave FC,RA
49117,10192,900,BSC Young Boys,YB
49119,9930,434,FC Aarau,AAR
39393,8485,77,Aberdeen,ABE
35292,10215,1901,Académica de Coimbra,ACA
20523,8564,47,Milan,ACM
11817,8576,614,AC Ajaccio,AJA
26552,8593,245,Ajax,AJA
26563,10229,1906,AZ,ALK
43052,9865,1861,UD Almería,ALM
35291,10213,,Amadora,AMA
43053,9906,240,Atlético Madrid,AMA
6,8635,229,RSC Anderlecht,AND
14868,8121,1530,Angers SCO,ANG
31455,8322,111082,Arka Gdynia,ARK
11074,108893,111989,AC Arles-Avignon,ARL
37696,158085,112513,FC Arouca,ARO
3459,9825,1,Arsenal,ARS
20513,8524,39,Atalanta,ATA
17465,8406,100409,FC Augsburg,AUG
9537,8583,57,AJ Auxerre,AUX
3465,10252,2,Aston Villa,AVL
36253,10211,1897,SC Beira Mar,B-M
2,9993,675,Beerschot AC,BAC
43042,8634,241,FC Barcelona,BAR
21280,9976,1848,Bari,BAR
49118,9931,896,FC Basel,BAS
12594,7794,58,SC Bastia,BAS
49116,6493,1714,AC Bellinzona,BEL
35284,9807,1889,CF Os Belenenses,BEL
31454,8569,110744,GKS Bełchatów,BEL
35294,9772,234,SL Benfica,BEN
43047,8603,449,Real Betis Balompié,BET
31456,1957,110745,Jagiellonia Białystok,BIA
15627,9912,159,DSC Arminia Bielefeld,BIE
43051,8315,448,Athletic Club de Bilbao,BIL
4218,8658,88,Birmingham City,BIR
4996,8483,1926,Blackpool,BLA
3468,8655,3,Blackburn Rovers,BLB
15617,9823,21,FC Bayern Munich,BMU
38176,8613,1898,Boavista FC,BOA
15634,9911,160,VfL Bochum,BOC
3471,8559,4,Bolton Wanderers,BOL
20524,9857,189,Bologna,BOL
9539,9827,59,Girondins de Bordeaux,BOR
8779,8678,1943,Bournemouth,BOU
10312,4170,111376,US Boulogne Cote D'Opale,BOU
18691,9776,110500,Eintracht Braunschweig,BRA
35290,10264,1896,SC Braga,BRA
22044,9858,190,Brescia,BRE
11076,8521,378,Stade Brestois 29,BRE
4234,8191,1796,Burnley,BUR
9540,7819,210,SM Caen,CAE
20515,8529,1842,Cagliari,CAG
29617,7788,647,SC Cambuur,CAM
25804,208931,112409,Carpi,CAP
7276,8344,1961,Cardiff City,CAR
20517,8530,110364,Catania,CAT
5,9984,1750,KSV Cercle Brugge,CEB
46087,9910,450,RC Celta de Vigo,CEL
39395,9925,78,Celtic,CEL
22042,9880,110915,Cesena,CES
18,9986,670,Sporting Charleroi,CHA
3475,8455,5,Chelsea,CHE
20519,8533,192,Chievo Verona,CHI
31446,1601,874,Ruch Chorzów,CHO
31458,2186,110747,Cracovia,CKR
12,8342,231,Club Brugge KV,CLB
43039,9783,242,RC Deportivo de La Coruña,COR
47612,7869,1867,Córdoba CF,COR
15629,8398,162,FC Energie Cottbus,COT
7261,9826,1799,Crystal Palace,CRY
19917,8262,110502,SV Darmstadt 98,DAR
9,7947,,FCV Dender EH,DEN
11825,9836,110569,Dijon FCO,DIJ
30222,6631,100626,FC Dordrecht,DOR
15620,9789,22,Borussia Dortmund,DOR
41216,8284,180,Dundee FC,DUF
40757,8457,182,Dunfermline Athletic,DUN
39398,9938,181,Dundee United,DUU
15625,9810,1824,Eintracht Frankfurt,EFR
47605,8372,467,SD Eibar,EIB
46848,10268,468,Elche CF,ELC
25048,8534,1746,Empoli,EMP
43049,8558,452,RCD Espanyol,ESP
37214,7842,10020,Estoril Praia,EST
