movie_id,movie_title,numb_of_critics,duration,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,gross,title_year,imdb_score,aspect_ratio,movie_facebook_likes,director_id,actor_1_id,actor_2_id,actor_3_id
1819,The Honeymooners            ,15,30,Comedy|Family,3446,1950s|bus driver|money scheme|poverty|sewer,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,31,English,USA,,,,,8.7,1.33,459,,730,,
2766,Towering Inferno            ,,65,Comedy,10,,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,English,Canada,,,,,9.5,1.33,0,1168,184,,
1665,Entourage            ,52,28,Comedy|Drama,135643,actor|fame|friendship between men|hollywood california|sitcom,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,145,English,USA,TV-MA,,,,8.5,1.78,0,,673,,
4870,Happy Valley            ,11,58,Crime|Drama,12848,caravan|police|police sergeant|tied to a chair|yorkshire,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,59,English,UK,TV-MA,,,,8.5,16.0,10000,,207,,
3580,Gomorrah            ,10,55,Crime|Drama|Thriller,9638,,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,Italian,Italy,TV-MA,,,,8.7,1.85,0,,1374,,
2825,Dekalog            ,53,55,Drama,12590,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Polish,Poland,TV-MA,,447093,,9.1,1.33,0,,1098,,
460,Daredevil            ,95,54,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,213483,corruption|lawyer|partnership|superhero|vigilante,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394,English,USA,TV-MA,,,,8.8,16.0,55000,,229,,
405,Hannibal            ,103,44,Crime|Drama|Horror|Mystery|Thriller,159910,blood|cannibalism|fbi|manipulation|psychiatrist,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,270,English,USA,TV-14,,,,8.6,1.78,59000,,209,,
2192,Meet the Browns            ,3,30,Comedy,1922,african american|character name in title|family relationships|sitcom,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,English,USA,,,,,3.5,1.85,211,,860,,
2144,The Bachelor            ,5,60,Game-Show|Reality-TV|Romance,4398,bachelor|seeking love|single guy|tv host|women rivals for man,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,33,English,USA,,3000000,,,2.9,,141,,845,,
